ID,Name,Uses Slot,Prerequisite ID,Platform,Type,Fleet Manual,Creator,3D Artist,2D Artist,Date released,Date updated,Number of craft,Custom cockpit,# Reviews,# Bugs,# Usages
6,M/FRT the Luggage,31,8,X-Wing vs. TIE Fighter,Freighter,Fleet Manual #2,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,2/17/2009,1,No,0,0,6
7,X-Wing vs. TIE Fighter 1.14 (3DFX),n/a,n/a,X-Wing vs. TIE Fighter,General,,Lucas Arts / Totally Games,,,10/28/1997,11/1/2012,0,No,1,0,0
8,EH Ship Patch for XvT,n/a,n/a,X-Wing vs. TIE Fighter,General,,HA Ender mBind,CPT Tim,COL Zeth Durron,2/17/2009,4/27/2014,25,Yes,0,4,212
9,EH Ship Patch for BoP,n/a,8,XvT - Balance of Power,General,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,4/27/2014,16,Yes,0,2,24
10,X-Wing Alliance 2.02,n/a,n/a,X-Wing Alliance,General,,Lucas Arts / Totally Games,,,6/29/1999,11/1/2012,0,No,0,0,0
11,A-9 Vigilance Interceptor,11,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #137,COL Kermee,HA Ender mBind,HA Ender mBind,2/7/2000,2/20/2009,1,No,0,0,1
12,Gamma-class Assault Shuttle,39,8,X-Wing vs. TIE Fighter,Transport,Fleet Manual #24,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,11/11/2013,1,No,0,1,1
13,Asteroid Mining Unit,54,8,X-Wing vs. TIE Fighter,Platform,Fleet Manual #120,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,2/17/2009,1,No,0,0,1
14,Authority IRD,11,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #12,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,2/17/2009,1,No,0,0,1
15,Azzameen Family Base,54,8,X-Wing vs. TIE Fighter,Platform,Fleet Manual #78,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,10/28/2013,1,No,0,0,1
16,Bulk Cruiser,39,8,X-Wing vs. TIE Fighter,Capship,Fleet Manual #151,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,10/27/2013,1,No,0,0,3
17,Captivator-2,10,8,X-Wing vs. TIE Fighter,Fighter,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,2/20/2009,1,No,0,0,0
18,Cargo Facility 1,54,8,X-Wing vs. TIE Fighter,Platform,Fleet Manual #73,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,10/27/2013,1,No,0,0,0
19,Cargo Facility 2,54,8,X-Wing vs. TIE Fighter,Platform,Fleet Manual #74,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,10/27/2013,1,No,0,0,0
20,Civilian Pilot,85,8,X-Wing vs. TIE Fighter,Object,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,2/17/2009,1,No,0,0,0
21,Cloakshape Fighter,10,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #13,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,2/18/2009,1,No,1,0,2
22,Corellian Transport YT-2000,39,8,X-Wing vs. TIE Fighter,Freighter,Fleet Manual #31,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,2/19/2009,1,No,0,0,1
23,Corellian Transport YT-2400,39,8,X-Wing vs. TIE Fighter,Freighter,Fleet Manual #32,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,2/18/2009,1,No,0,0,1
24,Cyciliac Fighter,10,8,X-Wing vs. TIE Fighter,Fighter,,HA Ender mBind,CPT Tim,HA Ender mBind,2/17/2009,2/20/2009,1,No,0,0,2
