ID,Battle ID,Battle Type,Battle Type ID,Battle Name,Game platform,Missions,Release date,Last updated,Creator(s),Average rating,Reviews,Bug reports,Times completed,Patches used,Patch IDs,Battle URL,Download Link,Folder Location,Filename,Path,Ship Type,Flight Group Name
1,TIE-TC 1,TIE-TC,1,Capture of Zaarin,TIE Fighter,5,7/16/1995,1/12/2017,COL Shawshank,2.6,41,0,977,None,,https://tc.emperorshammer.org/download.php?id=1&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC1.zip,C:\Users\kevin\Documents\Projects\EH\TIETC1,B1M1FM.TIE,C:\Users\kevin\Documents\Projects\EH\TIETC1\B1M1FM.TIE,TIE Defender,Alpha
1,TIE-TC 1,TIE-TC,1,Capture of Zaarin,TIE Fighter,5,7/16/1995,1/12/2017,COL Shawshank,2.6,41,0,977,None,,https://tc.emperorshammer.org/download.php?id=1&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC1.zip,C:\Users\kevin\Documents\Projects\EH\TIETC1,B1M2FM.TIE,C:\Users\kevin\Documents\Projects\EH\TIETC1\B1M2FM.TIE,TIE Defender,Alpha
1,TIE-TC 1,TIE-TC,1,Capture of Zaarin,TIE Fighter,5,7/16/1995,1/12/2017,COL Shawshank,2.6,41,0,977,None,,https://tc.emperorshammer.org/download.php?id=1&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC1.zip,C:\Users\kevin\Documents\Projects\EH\TIETC1,B1M3BM.TIE,C:\Users\kevin\Documents\Projects\EH\TIETC1\B1M3BM.TIE,TIE Advanced,Lambda
1,TIE-TC 1,TIE-TC,1,Capture of Zaarin,TIE Fighter,5,7/16/1995,1/12/2017,COL Shawshank,2.6,41,0,977,None,,https://tc.emperorshammer.org/download.php?id=1&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC1.zip,C:\Users\kevin\Documents\Projects\EH\TIETC1,B1M4IM.TIE,C:\Users\kevin\Documents\Projects\EH\TIETC1\B1M4IM.TIE,TIE Defender,Alpha
1,TIE-TC 1,TIE-TC,1,Capture of Zaarin,TIE Fighter,5,7/16/1995,1/12/2017,COL Shawshank,2.6,41,0,977,None,,https://tc.emperorshammer.org/download.php?id=1&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC1.zip,C:\Users\kevin\Documents\Projects\EH\TIETC1,B1M5GM.TIE,C:\Users\kevin\Documents\Projects\EH\TIETC1\B1M5GM.TIE,TIE Defender,Beta
2,TIE-TC 2,TIE-TC,2,Strike at Calamari,TIE Fighter,6,7/16/1995,9/9/2003,CM Andrew,3.4,34,1,875,None,,https://tc.emperorshammer.org/download.php?id=2&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC2.zip,C:\Users\kevin\Documents\Projects\EH\TIETC2,B1M1FM.TIE,C:\Users\kevin\Documents\Projects\EH\TIETC2\B1M1FM.TIE,TIE Defender,Delta
2,TIE-TC 2,TIE-TC,2,Strike at Calamari,TIE Fighter,6,7/16/1995,9/9/2003,CM Andrew,3.4,34,1,875,None,,https://tc.emperorshammer.org/download.php?id=2&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC2.zip,C:\Users\kevin\Documents\Projects\EH\TIETC2,B1M2FM.TIE,C:\Users\kevin\Documents\Projects\EH\TIETC2\B1M2FM.TIE,Missile Boat,Beta
2,TIE-TC 2,TIE-TC,2,Strike at Calamari,TIE Fighter,6,7/16/1995,9/9/2003,CM Andrew,3.4,34,1,875,None,,https://tc.emperorshammer.org/download.php?id=2&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC2.zip,C:\Users\kevin\Documents\Projects\EH\TIETC2,B1M3BM.TIE,C:\Users\kevin\Documents\Projects\EH\TIETC2\B1M3BM.TIE,TIE Defender,Epsilon
2,TIE-TC 2,TIE-TC,2,Strike at Calamari,TIE Fighter,6,7/16/1995,9/9/2003,CM Andrew,3.4,34,1,875,None,,https://tc.emperorshammer.org/download.php?id=2&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC2.zip,C:\Users\kevin\Documents\Projects\EH\TIETC2,B1M4IM.TIE,C:\Users\kevin\Documents\Projects\EH\TIETC2\B1M4IM.TIE,TIE Defender,Epsilon
2,TIE-TC 2,TIE-TC,2,Strike at Calamari,TIE Fighter,6,7/16/1995,9/9/2003,CM Andrew,3.4,34,1,875,None,,https://tc.emperorshammer.org/download.php?id=2&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC2.zip,C:\Users\kevin\Documents\Projects\EH\TIETC2,B1M5GM.TIE,C:\Users\kevin\Documents\Projects\EH\TIETC2\B1M5GM.TIE,TIE Advanced,Epsilon
